BÁO CÁO XU HƯỚNG SNAPSHOT
Kỳ lọc,1 tháng
Số mốc snapshot,1
Xuất lúc,15/07/2026 18:36

=== ĐIỂM TRUNG BÌNH CHUNG ===
Mốc,Điểm TB,Số TC áp dụng,Tỷ lệ áp dụng (%)
T7/2026,4.26,80,96.4

=== THEO NHÓM TIÊU CHÍ ===
Nhóm tiêu chí,T7/2026 (Điểm TB),T7/2026 (Số TC)
A. Hướng đến người bệnh,4.21,19
B. Phát triển nguồn nhân lực,3.71,14
C. Hoạt động chuyên môn,3.91,32
D. Cải tiến chất lượng,3.91,11
E. Tiêu chí chuyên khoa,4.50,4

=== THEO KHOA/PHÒNG ===
Khoa/phòng,T7/2026 (Điểm TB),T7/2026 (Hạng),T7/2026 (Số TC)
Phụ sản,4.67,1,3
Hành chính quản trị,4.25,2,12
Kế hoạch tổng hợp,4.00,3,9
Tài chính kế toán,4.00,4,2
Công tác xã hội,4.00,5,2
Quản lý chất lượng,4.00,6,11
Chỉ đạo tuyến,4.00,7,2
Công nghệ thông tin,4.00,8,2
Điều dưỡng,4.00,9,4
Dinh dưỡng,4.00,10,5
Dược,4.00,11,6
Nhi,4.00,12,1
Kiểm soát nhiễm khuẩn,3.75,13,4
Khoa khám bệnh,3.67,14,3
Tổ chức cán bộ,3.67,15,12
Xét nghiệm,3.50,16,2

=== CHI TIẾT TỪNG TIÊU CHÍ ===
Mã TC,Tên tiêu chí,Nhóm tiêu chí,Khoa/phòng,T7/2026
A1.1,"Người bệnh được chỉ dẫn rõ ràng, đón tiếp và hướng dẫn khoa học, cụ thể",A. Hướng đến người bệnh,Hành chính quản trị,5
A1.2,"Người bệnh, người nhà người bệnh được chờ đợi trong phòng đầy đủ tiện nghi và được vận chuyển phù hợp với tình trạng bệnh tật",A. Hướng đến người bệnh,Hành chính quản trị,3
A1.3,"Cải tiến quy trình khám bệnh, đáp ứng sự hài lòng người bệnh",A. Hướng đến người bệnh,Khoa khám bệnh,4
A1.4,Bệnh viện bảo đảm các điều kiện cấp cứu người bệnh kịp thời,A. Hướng đến người bệnh,Kế hoạch tổng hợp,4
A1.5,"Người bệnh được làm các thủ tục đăng ký, khám bệnh theo đúng thứ tự bảo đảm tính công bằng và mức ưu tiên",A. Hướng đến người bệnh,Khoa khám bệnh,4
A1.6,"Người bệnh được hướng dẫn và bố trí làm xét nghiệm, chẩn đoán hình ảnh, thăm dò chức năngtheo trình tự thuận tiện",A. Hướng đến người bệnh,Khoa khám bệnh,3
A2.1,Người bệnh điều trị nội trú được nằm một người một giường,A. Hướng đến người bệnh,Hành chính quản trị,3
A2.2,Người bệnh được sử dụng buồng vệ sinh sạch sẽ và đầy đủ các phương tiện,A. Hướng đến người bệnh,Hành chính quản trị,4
A2.3,"Người bệnh được cung cấp vật dụng cá nhân đầy đủ, sạch sẽ, chất lượng tốt",A. Hướng đến người bệnh,Hành chính quản trị,5
A2.4,"Người bệnh được hưởng các tiện nghi bảo đảm sức khỏe, nâng cao thể trạng và tâm lý",A. Hướng đến người bệnh,Hành chính quản trị,3
A2.5,"Người khuyết tật được tiếp cận đầy đủ với các khoa, phòng và dịch vụ khám, chữa bệnh trong bệnh viện",A. Hướng đến người bệnh,Hành chính quản trị,5
A3.1,"Người bệnh được điều trị trong môi trường, cảnh quan xanh, sạch, đẹp",A. Hướng đến người bệnh,Hành chính quản trị,5
A3.2,"Người bệnh được khám và điều trị trong khoa, phòng gọn gàng, ngăn nắp",A. Hướng đến người bệnh,Hành chính quản trị,5
A4.1,Người bệnh được cung cấp thông tin và tham gia vào quá trình điều trị,A. Hướng đến người bệnh,Kế hoạch tổng hợp,5
A4.2,Người bệnh được tôn trọng quyền riêng tư,A. Hướng đến người bệnh,Kế hoạch tổng hợp,4
A4.3,"Người bệnh được nộp viện phí thuận tiện, công khai, minh bạch, chính xác",A. Hướng đến người bệnh,Tài chính kế toán,4
A4.4,Người bệnh được hưởng lợi từ chủ trương xã hội hóa y tế,A. Hướng đến người bệnh,Tài chính kế toán,4
A4.5,"Người bệnh có ý kiến phàn nàn, thắc mắc hoặc khen ngợi được bệnh viện tiếp nhận, phản hồi, giải quyết kịp thời",A. Hướng đến người bệnh,Công tác xã hội,5
A4.6,"Bệnh viện thực hiện khảo sát, đánh giá sự hài lòng người bệnh và tiến hành các biện pháp can thiệp",A. Hướng đến người bệnh,Quản lý chất lượng,5
B1.1,Xây dựng kế hoạch phát triển nhân lực bệnh viện,B. Phát triển nguồn nhân lực,Tổ chức cán bộ,3
B1.2,Bảo đảm và duy trì ổn định số lượng nhân lực bệnh viện,B. Phát triển nguồn nhân lực,Tổ chức cán bộ,3
B1.3,Bảo đảm cơ cấu chức danh nghề nghiệp và xác định vị trí việc làm của nhân lực bệnh viện,B. Phát triển nguồn nhân lực,Tổ chức cán bộ,3
B2.1,Nhân viên y tế được đào tạo liên tục và phát triển kỹ năng nghề nghiệp,B. Phát triển nguồn nhân lực,Tổ chức cán bộ,2
B2.2,"Nhân viên y tế được nâng cao kỹ năng giao tiếp, ứng xử, y đức",B. Phát triển nguồn nhân lực,Công tác xã hội,3
B2.3,Bệnh viện duy trì và phát triển bền vững chất lượng nguồn nhân lực,B. Phát triển nguồn nhân lực,Tổ chức cán bộ,4
